"European Journal of Information Systems, Volume 27, Issue 2 (2018)",https://www.tandfonline.com/doi/full/10.1057/s41303-016-0030-1,Modeling interferences in information systems design for cyberphysical systems: Insights from a smart grid application,Issue 2,"Volume 27, 2018 - Issue 2: Exemplars and criteria for applicable design science research","In this paper, we analyze possible interferences that occur when developing information systems for cyberphysical systems – hybrids containing legacy technical components and added IT modules. In particular, the enhancement of electricity systems through IT components, resulting in smart grid and smart home solutions, is experiencing increasing adoption rates in advanced and developing countries alike. Due to the substantial interdependence with and reliance on often decades-old legacy infrastructure, these cyberphysical systems present particular opportunities and challenges for the associated information systems. We propose that one channel through which information systems improve cyberphysical systems is by enhancing the components of the legacy system with new features. Introducing the Design–Interference Model, we conceptualize IS design for cyberphysical systems and outline possible obstacles and interferences associated with it. Using a simulation experiment for a smart grid application as a showcase, we derive insights into how to address these challenges. We condense these results into actionable advice that, first, seeks to validate existing guidelines for design-oriented research, second, extends and focuses them on cyberphysical system applications and, third, provides guidance to researchers and practitioners in this increasingly relevant area of information system development.","['Design science', 'cyberphysical Systems', 'design-interference model', 'smart grid', 'sustainability']",N/A,N/A,N/A,
"European Journal of Information Systems, Volume 27, Issue 2 (2018)",https://www.tandfonline.com/doi/full/10.1057/s41303-017-0039-0,Design principles for sensemaking support systems in environmental sustainability transformations,Issue 2,"Volume 27, 2018 - Issue 2: Exemplars and criteria for applicable design science research","This paper reports on the results of a design science research (DSR) study that develops design principles for information systems (IS) that support organisational sensemaking in environmental sustainability transformations. We identify initial design principles based on salient affordances required in organisational sensemaking and revise them through three rounds of developing, demonstrating and evaluating a prototypical implementation. Through our analysis, we learn how IS can support essential sensemaking practices in environmental sustainability transformations, including experiencing disruptive ambiguity through the provision of environmental data, noticing and bracketing, engaging in an open and inclusive communication and presuming potential alternative environmentally responsible actions. We make two key contributions: First, we provide a set of theory-inspired design principles for IS that support sensemaking in sustainability transformations, and revise them empirically using a DSR method. Second, we show how the concept of affordances can be used in DSR to investigate how IS can support organisational practices. While our findings are based on the investigation of the substantive context of environmental sustainability transformation, we suggest that they might be applicable in a broader set of contexts of organisational sensemaking and thus for a broader class of sensemaking support systems.","['Sensemaking', 'sustainability', 'green IS', 'design science research']",N/A,N/A,N/A,
"European Journal of Information Systems, Volume 27, Issue 2 (2018)",https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1445461,An information system design theory for the comparative judgement of competences,Issue 2,"Volume 27, 2018 - Issue 2: Exemplars and criteria for applicable design science research","A Design Science Research project is presented, describing the creation of an Information System for the assessment of human competences while supporting learning. First, requirements that emanate from current mainstream competence evaluation practice are introduced. Then, design principles are presented to address the design requirements. Finally, design features are discussed that represent a concrete instantiation of the design principles in a working system prototype. The output of the design, development, and evaluation of the artefact are presented as an Information Systems Design Theory. This theory provides principles that can be applied in different contexts where the evaluation of competences is needed.","['Design science research', 'comparative judgement', 'computer-based assessment']",N/A,N/A,N/A,
"European Journal of Information Systems, Volume 27, Issue 1 (2018)",https://www.tandfonline.com/doi/full/10.1080/0960085X.2018.1429370,Going through changes,Issue 1,"Volume 27, 2018 - Issue 1","A Design Science Research project is presented, describing the creation of an Information System for the assessment of human competences while supporting learning. First, requirements that emanate from current mainstream competence evaluation practice are introduced. Then, design principles are presented to address the design requirements. Finally, design features are discussed that represent a concrete instantiation of the design principles in a working system prototype. The output of the design, development, and evaluation of the artefact are presented as an Information Systems Design Theory. This theory provides principles that can be applied in different contexts where the evaluation of competences is needed.","['Design science research', 'comparative judgement', 'computer-based assessment']",Pär J. Ågerfalk,https://www.tandfonline.com/author/%C3%85gerfalk%2C+P%C3%A4r+J,"Uppsala University
Correspondence
par.agerfalk@im.uu.se",par.agerfalk@im.uu.se
"European Journal of Information Systems, Volume 27, Issue 1 (2018)",https://www.tandfonline.com/doi/full/10.1080/0960085X.2017.1386833,Knowledge exchange roles and EKR performance impact: extending the theory of knowledge reuse,Issue 1,"Volume 27, 2018 - Issue 1","Organisations are spending considerable resources on electronic knowledge repositories (EKRs) that should have a positive effect on employees’ EKR performance impact. Seeking to build on and extend the theory of knowledge reuse, this paper focuses on the various roles individuals play in knowledge exchange, and how the knowledge exchange role mediates the effect of previously studied individual perceptual variables (perceived time pressure, extrinsic and intrinsic rewards, and knowledge contribution self-efficacy) on EKR performance impact. In order to identify the various knowledge exchange roles, we simultaneously consider both knowledge contribution process (embedded vs. separate activity) and knowledge reuse (internal EKR, external EKR, colleagues, manuals, knowledge self-reliance). When work is highly specialised and technical as in the context of system administrators, we observed four roles: Self-reliant Contributors, Detached Moderates, Involved Brokers, and Reluctant Limited Users. Results indicate that the effects of intrinsic rewards and knowledge contribution self-efficacy on EKR performance impact are fully mediated by knowledge exchange role. Perceived time pressure does not influence either knowledge exchange roles or EKR performance impact. Overall, the paper provides insights into roles individuals play in knowledge exchange, and extends the theory of knowledge reuse.","['Knowledge exchange roles', 'theory of knowledge reuse', 'knowledge contribution', 'knowledge seeking', 'electronic knowledge repositories', 'performance impact']",Nicole Forsgren,https://www.tandfonline.com/author/Forsgren%2C+Nicole,"DevOps Research and Assessment (DORA), Portland, OR, USA",
"European Journal of Information Systems, Volume 27, Issue 1 (2018)",https://www.tandfonline.com/doi/full/10.1080/0960085X.2017.1386833,Knowledge exchange roles and EKR performance impact: extending the theory of knowledge reuse,Issue 1,"Volume 27, 2018 - Issue 1","Organisations are spending considerable resources on electronic knowledge repositories (EKRs) that should have a positive effect on employees’ EKR performance impact. Seeking to build on and extend the theory of knowledge reuse, this paper focuses on the various roles individuals play in knowledge exchange, and how the knowledge exchange role mediates the effect of previously studied individual perceptual variables (perceived time pressure, extrinsic and intrinsic rewards, and knowledge contribution self-efficacy) on EKR performance impact. In order to identify the various knowledge exchange roles, we simultaneously consider both knowledge contribution process (embedded vs. separate activity) and knowledge reuse (internal EKR, external EKR, colleagues, manuals, knowledge self-reliance). When work is highly specialised and technical as in the context of system administrators, we observed four roles: Self-reliant Contributors, Detached Moderates, Involved Brokers, and Reluctant Limited Users. Results indicate that the effects of intrinsic rewards and knowledge contribution self-efficacy on EKR performance impact are fully mediated by knowledge exchange role. Perceived time pressure does not influence either knowledge exchange roles or EKR performance impact. Overall, the paper provides insights into roles individuals play in knowledge exchange, and extends the theory of knowledge reuse.","['Knowledge exchange roles', 'theory of knowledge reuse', 'knowledge contribution', 'knowledge seeking', 'electronic knowledge repositories', 'performance impact']",Rajiv Sabherwal,https://www.tandfonline.com/author/Sabherwal%2C+Rajiv,"Department of MIS, Sam M. Walton College of Business, University of Arkansas, Fayetteville, AR, USA",
"European Journal of Information Systems, Volume 27, Issue 1 (2018)",https://www.tandfonline.com/doi/full/10.1080/0960085X.2017.1386833,Knowledge exchange roles and EKR performance impact: extending the theory of knowledge reuse,Issue 1,"Volume 27, 2018 - Issue 1","Organisations are spending considerable resources on electronic knowledge repositories (EKRs) that should have a positive effect on employees’ EKR performance impact. Seeking to build on and extend the theory of knowledge reuse, this paper focuses on the various roles individuals play in knowledge exchange, and how the knowledge exchange role mediates the effect of previously studied individual perceptual variables (perceived time pressure, extrinsic and intrinsic rewards, and knowledge contribution self-efficacy) on EKR performance impact. In order to identify the various knowledge exchange roles, we simultaneously consider both knowledge contribution process (embedded vs. separate activity) and knowledge reuse (internal EKR, external EKR, colleagues, manuals, knowledge self-reliance). When work is highly specialised and technical as in the context of system administrators, we observed four roles: Self-reliant Contributors, Detached Moderates, Involved Brokers, and Reluctant Limited Users. Results indicate that the effects of intrinsic rewards and knowledge contribution self-efficacy on EKR performance impact are fully mediated by knowledge exchange role. Perceived time pressure does not influence either knowledge exchange roles or EKR performance impact. Overall, the paper provides insights into roles individuals play in knowledge exchange, and extends the theory of knowledge reuse.","['Knowledge exchange roles', 'theory of knowledge reuse', 'knowledge contribution', 'knowledge seeking', 'electronic knowledge repositories', 'performance impact']",Alexandra Durcikova,https://www.tandfonline.com/author/Durcikova%2C+Alexandra,"Division of MIS, Price College of Business, The University of Oklahoma, Norman, OK, USA
Correspondence
alex@ou.edu",alex@ou.edu
"European Journal of Information Systems, Volume 27, Issue 1 (2018)",https://www.tandfonline.com/doi/full/10.1080/0960085X.2017.1386833,Knowledge exchange roles and EKR performance impact: extending the theory of knowledge reuse,Issue 1,"Volume 27, 2018 - Issue 1","Organisations are spending considerable resources on electronic knowledge repositories (EKRs) that should have a positive effect on employees’ EKR performance impact. Seeking to build on and extend the theory of knowledge reuse, this paper focuses on the various roles individuals play in knowledge exchange, and how the knowledge exchange role mediates the effect of previously studied individual perceptual variables (perceived time pressure, extrinsic and intrinsic rewards, and knowledge contribution self-efficacy) on EKR performance impact. In order to identify the various knowledge exchange roles, we simultaneously consider both knowledge contribution process (embedded vs. separate activity) and knowledge reuse (internal EKR, external EKR, colleagues, manuals, knowledge self-reliance). When work is highly specialised and technical as in the context of system administrators, we observed four roles: Self-reliant Contributors, Detached Moderates, Involved Brokers, and Reluctant Limited Users. Results indicate that the effects of intrinsic rewards and knowledge contribution self-efficacy on EKR performance impact are fully mediated by knowledge exchange role. Perceived time pressure does not influence either knowledge exchange roles or EKR performance impact. Overall, the paper provides insights into roles individuals play in knowledge exchange, and extends the theory of knowledge reuse.","['Knowledge exchange roles', 'theory of knowledge reuse', 'knowledge contribution', 'knowledge seeking', 'electronic knowledge repositories', 'performance impact']",Frantz Rowe,https://www.tandfonline.com/author/Rowe%2C+Frantz,"Division of MIS, Price College of Business, The University of Oklahoma, Norman, OK, USA
Correspondence
alex@ou.edu",alex@ou.edu
"European Journal of Information Systems, Volume 27, Issue 1 (2018)",https://www.tandfonline.com/doi/full/10.1080/0960085X.2017.1386833,Knowledge exchange roles and EKR performance impact: extending the theory of knowledge reuse,Issue 1,"Volume 27, 2018 - Issue 1","Organisations are spending considerable resources on electronic knowledge repositories (EKRs) that should have a positive effect on employees’ EKR performance impact. Seeking to build on and extend the theory of knowledge reuse, this paper focuses on the various roles individuals play in knowledge exchange, and how the knowledge exchange role mediates the effect of previously studied individual perceptual variables (perceived time pressure, extrinsic and intrinsic rewards, and knowledge contribution self-efficacy) on EKR performance impact. In order to identify the various knowledge exchange roles, we simultaneously consider both knowledge contribution process (embedded vs. separate activity) and knowledge reuse (internal EKR, external EKR, colleagues, manuals, knowledge self-reliance). When work is highly specialised and technical as in the context of system administrators, we observed four roles: Self-reliant Contributors, Detached Moderates, Involved Brokers, and Reluctant Limited Users. Results indicate that the effects of intrinsic rewards and knowledge contribution self-efficacy on EKR performance impact are fully mediated by knowledge exchange role. Perceived time pressure does not influence either knowledge exchange roles or EKR performance impact. Overall, the paper provides insights into roles individuals play in knowledge exchange, and extends the theory of knowledge reuse.","['Knowledge exchange roles', 'theory of knowledge reuse', 'knowledge contribution', 'knowledge seeking', 'electronic knowledge repositories', 'performance impact']",Andrew Hardin,https://www.tandfonline.com/author/Hardin%2C+Andrew,"Division of MIS, Price College of Business, The University of Oklahoma, Norman, OK, USA
Correspondence
alex@ou.edu",
"European Journal of Information Systems, Volume 27, Issue 1 (2018)",https://www.tandfonline.com/doi/full/10.1080/0960085X.2017.1387349,"Intentionâ€“behaviour misalignment at B2C websites: when the horse brings itself to water, will it drink?",Issue 1,"Volume 27, 2018 - Issue 1","We examine factors leading to intention-behaviour misalignment during the current website visit for two groups of website visitors: (1) “directed buyers” who visit with an a priori intention to purchase on the current visit but end up not doing so, and (2) “search/deliberators” who visit with an a priori intention to only gather information for a specific future purchase but end up making a purchase during the current visit. A qualitative study analysed responses by 2660 visitors to the websites of a large hotel management company, 749 of whom acted against their a priori purchase intentions. Based on the results, we propose a theoretical model of factors influencing the intention-behaviour relationship, emphasising those factors that have received little attention in extant research and that have noticeably different impacts for each group, in either facilitating or inhibiting purchasing behaviour. We further explore the interrelationships between various types of uncertainty, anticipated action and inaction regret, and disconfirmed expectations in distorting the intention-behaviour relationship. We close with suggested topics for future research.","['B2C e-commerce', 'intention-behaviour misalignment', 'uncertainty', 'anticipated regret', 'inhibitors', 'causal asymmetry']",Greta L. Polites,https://www.tandfonline.com/author/Polites%2C+Greta+L,"Department of Management & Information Systems, College of Business Administration, Kent State University, Kent, OH, USA
Correspondence
gpolites@kent.edu",gpolites@kent.edu
