URL,Journal_Title,Article_Title,Abstract,Author_name,Standardized_Author,Author_University,Author_State,Author_Country
URL,Journal_Title,Article_Title,Abstract,Author_name,Standardized_Author,Author_University,Author_State,Author_Country
https://aisel.aisnet.org/jais/vol26/iss1/10,Journal of the Association for Information Systems,Legal Compliance and the Open Texture of Law,No Abstract,Arto Lanamäki,Arto Lanamaki,University of Oulu,Northern Ostrobothnia,Finland
https://aisel.aisnet.org/jais/vol26/iss1/10,Journal of the Association for Information Systems,Legal Compliance and the Open Texture of Law,No Abstract,Mika Viljanen,Mika Viljanen,University of Turku,Varsinais-Suomi,Finland
https://aisel.aisnet.org/jais/vol26/iss1/10,Journal of the Association for Information Systems,Legal Compliance and the Open Texture of Law,No Abstract,Karin Väyrynen,Karin Vayrynen,University of Oulu,Northern Ostrobothnia,Finland
https://aisel.aisnet.org/jais/vol26/iss1/10,Journal of the Association for Information Systems,Legal Compliance and the Open Texture of Law,No Abstract,Lyria Bennett Moses,Lyria Bennett Moses,University of New South Wales,New South Wales,Australia
https://aisel.aisnet.org/jais/vol26/iss1/9,Journal of the Association for Information Systems,"Ecological Validity in NeuroIS Research: Theory, Evidence, and a Roadmap for Future Studies",No Abstract,Ali Balapour,Ali Balapour,Northern Kentucky University,Kentucky,United States
https://aisel.aisnet.org/jais/vol26/iss1/9,Journal of the Association for Information Systems,"Ecological Validity in NeuroIS Research: Theory, Evidence, and a Roadmap for Future Studies",No Abstract,René Riedl,Rene Riedl,University of Applied Sciences Upper Austria,Upper Austria,Austria
https://aisel.aisnet.org/jais/vol26/iss1/8,Journal of the Association for Information Systems,Digital Infrastructure Development Through Digital Infrastructuring Work: An Institutional Work Perspective,No Abstract,Adrian Yeow,Adrian Yeow,Singapore University of Social Sciences,Singapore,Singapore
https://aisel.aisnet.org/jais/vol26/iss1/8,Journal of the Association for Information Systems,Digital Infrastructure Development Through Digital Infrastructuring Work: An Institutional Work Perspective,No Abstract,Wee-Kiat Lim,Wee-Kiat Lim,Singapore Management University,Singapore,Singapore
https://aisel.aisnet.org/jais/vol26/iss1/8,Journal of the Association for Information Systems,Digital Infrastructure Development Through Digital Infrastructuring Work: An Institutional Work Perspective,No Abstract,Samer Faraj,Samer Faraj,McGill University,Quebec,Canada
https://aisel.aisnet.org/jais/vol26/iss1/7,Journal of the Association for Information Systems,Making Sense of Discursive Formations and Program Shifts in Large-Scale Digital Infrastructures,No Abstract,Egil Øvrelid,Egil Ovrelid,University of Oslo,Oslo,Norway
https://aisel.aisnet.org/jais/vol26/iss1/7,Journal of the Association for Information Systems,Making Sense of Discursive Formations and Program Shifts in Large-Scale Digital Infrastructures,No Abstract,Bendik Bygstad,Bendik Bygstad,University of Oslo,Oslo,Norway
https://aisel.aisnet.org/jais/vol26/iss1/7,Journal of the Association for Information Systems,Making Sense of Discursive Formations and Program Shifts in Large-Scale Digital Infrastructures,No Abstract,Ole Hanseth,Ole Hanseth,University of Oslo,Oslo,Norway
https://aisel.aisnet.org/jais/vol26/iss1/6,Journal of the Association for Information Systems,Uncovering the Structural Assurance Mechanisms in Blockchain Technology-Enabled Online Healthcare Mutual Aid Platforms,No Abstract,Zhen Shao,Zhen Shao,Harbin Institute of Technology,Heilongjiang,China
https://aisel.aisnet.org/jais/vol26/iss1/6,Journal of the Association for Information Systems,Uncovering the Structural Assurance Mechanisms in Blockchain Technology-Enabled Online Healthcare Mutual Aid Platforms,No Abstract,Lin Zhang,Lin Zhang,Northwestern Polytechnical University,Shaanxi,China
https://aisel.aisnet.org/jais/vol26/iss1/6,Journal of the Association for Information Systems,Uncovering the Structural Assurance Mechanisms in Blockchain Technology-Enabled Online Healthcare Mutual Aid Platforms,No Abstract,Susan A. Brown,Susan A. Brown,University of Arizona,Arizona,United States
https://aisel.aisnet.org/jais/vol26/iss1/6,Journal of the Association for Information Systems,Uncovering the Structural Assurance Mechanisms in Blockchain Technology-Enabled Online Healthcare Mutual Aid Platforms,No Abstract,Jose Benitez,Jose Benitez,Kent State University,Ohio,United States
https://aisel.aisnet.org/jais/vol26/iss1/5,Journal of the Association for Information Systems,Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,No Abstract,Qian Wang,Qian Wang,University of Macau,Macau,China
https://aisel.aisnet.org/jais/vol26/iss1/5,Journal of the Association for Information Systems,Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,No Abstract,Dan Pienta,Dan Pienta,"University of Tennessee, Knoxville",Tennessee,United States
https://aisel.aisnet.org/jais/vol26/iss1/5,Journal of the Association for Information Systems,Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,No Abstract,Shenyang Jiang,Shenyang JiangTongji University,Shenyang Jianzhu University,Liaoning,China
https://aisel.aisnet.org/jais/vol26/iss1/5,Journal of the Association for Information Systems,Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,No Abstract,Eric W. T. Ngai,Eric W. T. Ngai,The Hong Kong Polytechnic University,Hong Kong,Hong Kong
https://aisel.aisnet.org/jais/vol26/iss1/5,Journal of the Association for Information Systems,Do Good and Do No Harm Too: Employee-Related Corporate Social (Ir)responsibility and Information Security Performance,No Abstract,Jason Bennett Thatcher,Jason Bennett Thatcher,University of Colorado Boulder,Colorado,United States
